MONTH, PRICE 
Jan,
Dec,2.29
Nov,2.54
Oct,2.36
Sep,
Aug,2.36
Jul,2.33
Jun,2.50
May,2.59
Apr,2.73
Mar,3.19
Feb,2.70
Jan,
Dec,4.40
Nov,3.36
Oct,3.13
Sep,
Aug,2.80
Jul,2.90
Jun,2.91
May,2.75
Apr,2.75
Mar,2.67
Feb,3.06
Jan,
Dec,2.84
Nov,2.68
Oct,2.94
Sep,2.88
Aug,2.80
Jul,2.98
Jun,3.05
May,3.20
Apr,3.13
Mar,2.54
Feb,3.15
Jan,3.71
Dec,3.32
Nov,2.53
Oct,2.84
Sep,2.95
Aug,2.97
Jul,2.89
Jun,2.25
May,1.91
Apr,1.88
Mar,1.57
Feb,2.28
Jan,2.28
Dec,2.11
Nov,1.92
Oct,2.37
Sep,2.70
Aug,2.76
Jul,2.78
Jun,2.78
May,2.68
Apr,2.62
Mar,2.79
Feb,2.88
Jan,
Dec,4.30
Nov,3.82
Oct,4.14
Sep,
Aug,3.77
Jul,4.47
Jun,4.49
May,4.79
Apr,4.39
Mar,7.09
Feb,5.04
Jan,
Dec,3.85
Nov,3.45
Oct,3.56
Sep,
Aug,3.44
Jul,3.52
Jun,4.00
May,4.31
Apr,3.97
Mar,3.54
Feb,3.34
Jan,
Dec,3.44
Nov,3.50
Oct,3.19
Sep,
Aug,3.20
Jul,2.73
Jun,2.24
May,2.29
Apr,1.88
Mar,2.45
Feb,2.32
Jan,
Dec,3.49
Nov,3.49
Oct,3.57
Sep,4.18
Aug,4.29
Jul,4.33
Jun,4.62
May,4.60
Apr,4.32
Mar,3.93
Feb,4.42
Jan,4.54
Dec,4.21
Nov,3.42
Oct,3.67
Sep,3.73
Aug,4.94
Jul,4.54
Jun,4.39
May,3.86
Apr,3.72
Mar,4.83
Feb,5.30
Jan,
Dec,4.30
Nov,4.32
Oct,2.91
Sep,2.36
Aug,3.43
Jul,3.63
Jun,3.86
May,3.30
Apr,3.56
Mar,4.36
Feb,4.48
Jan,
Dec,6.48
Nov,6.45
Oct,7.41
Sep,
Aug,9.05
Jul,13.28
Jun,11.80
May,10.66
Apr,9.92
Mar,9.07
Feb,7.88
Jan,
Dec,6.97
Nov,7.09
Oct,6.07
Sep,
Aug,6.19
Jul,6.24
Jun,7.57
May,7.64
Apr,7.62
Mar,7.07
Feb,7.93
Jan,
Dec,8.42
Nov,7.15
Oct,4.11
Sep,5.24
Aug,8.66
Jul,
Jun,6.25
May,6.53
Apr,7.08
Mar,6.62
Feb,8.71
Jan,
Dec,12.58
Nov,10.80
Oct,
Sep,11.36
Aug,8.03
Jul,7.01
Jun,6.36
May,6.50
Apr,7.57
Mar,6.63
Feb,6.28
Jan,5.53
Dec,6.78
Nov,6.98
Oct,5.38
Sep,5.02
Aug,5.86
Jul,5.95
Jun,6.45
May,5.80
Apr,5.82
Mar,5.17
Feb,5.51
Jan,
Dec,5.02
Nov,4.12
Oct,4.47
Sep,
Aug,4.71
Jul,5.22
Jun,6.22
May,5.32
Apr,4.90
Mar,8.51
Feb,5.71
Jan,
Dec,4.23
Nov,4.07
Oct,4.41
Sep,
Aug,3.07
Jul,3.28
Jun,3.18
May,3.79
Apr,3.43
Mar,2.51
Feb,2.28
Jan,
Dec,2.10
Nov,2.99
Oct,1.74
Sep,
Aug,3.27
Jul,2.92
Jun,3.70
May,4.55
Apr,5.25
Mar,5.25
Feb,5.82
Jan,
Dec,6.53
Nov,4.40
Oct,5.24
Sep,4.70
Aug,3.78
Jul,4.36
Jun,4.39
May,3.16
Apr,2.92
Mar,2.71
Feb,2.81
Jan,
Dec,2.17
Nov,2.73
Oct,2.39
Sep,2.71
Aug,2.51
Jul,2.29
Jun,2.34
May,2.23
Apr,1.95
Mar,1.65
Feb,1.75
Jan,
Dec,1.41
Nov,1.84
Oct,2.33
Sep,1.84
Aug,1.84
Jul,2.46
Jun,2.10
May,2.11
Apr,2.45
Mar,2.26
Feb,2.23
Jan,
Dec,2.52
Nov,3.23
Oct,3.08
Sep,
Aug,2.24
Jul,2.16
Jun,2.20
May,2.19
Apr,1.95
Mar,1.80
Feb,2.49
